Date,Ticker,Close,Buy,Sell,Actual_Sharpe,Best_Prediction
2021-10-18 00:00:00-04:00,AAT,32.718048095703125,-1.0,-1.0,-1.0,-1.0078287497258185
2021-10-19 00:00:00-04:00,AAT,32.2520751953125,-1.0,-1.0,-1.0,-1.0038559707545904
2021-10-20 00:00:00-04:00,AAT,32.8012580871582,-1.0,-1.0,-1.0,-1.0163407464063623
2021-10-21 00:00:00-04:00,AAT,32.55162811279297,-1.0,-1.0,-1.0,-0.9995308141540108
2021-10-22 00:00:00-04:00,AAT,32.63483810424805,-1.0,-1.0,-1.0,-1.0098608428772322
2021-10-25 00:00:00-04:00,AAT,32.718048095703125,-1.0,-1.0,-1.0,-1.0051213423805208
2021-10-26 00:00:00-04:00,AAT,32.792938232421875,-1.0,-1.0,-1.0,-1.0022443596942714
2021-10-27 00:00:00-04:00,AAT,31.79442405700684,-1.0,31.79442405700684,-1.040273705419564,-1.0099873107353432
2021-10-28 00:00:00-04:00,AAT,31.761138916015625,-1.0,-1.0,-1.0,-1.021675578810796
2021-10-29 00:00:00-04:00,AAT,31.47822380065918,-1.0,-1.0,-1.0,-1.0205189139252753
2021-11-01 00:00:00-04:00,AAT,32.07733154296875,-1.0,-1.0,-1.0,-1.0261229698588694
2021-11-02 00:00:00-04:00,AAT,31.744504928588867,-1.0,-1.0,-1.0,-1.020103327271619
2021-11-03 00:00:00-04:00,AAT,32.326961517333984,-1.0,-1.0,-1.0,-1.02580499724615
2021-11-04 00:00:00-04:00,AAT,31.89427757263184,-1.0,-1.0,-1.0,-1.0192970498865743
2021-11-05 00:00:00-04:00,AAT,33.358760833740234,33.358760833740234,-1.0,-1.0,-1.0192157281000769
2021-11-08 00:00:00-05:00,AAT,32.53498077392578,-1.0,-1.0,-1.0,-1.0091128493121502
2021-11-09 00:00:00-05:00,AAT,32.95935821533203,-1.0,-1.0,-1.0,-1.0225637077070864
2021-11-10 00:00:00-05:00,AAT,32.718048095703125,-1.0,-1.0,-1.0,-1.0014066755745437
2021-11-11 00:00:00-05:00,AAT,32.63483810424805,-1.0,-1.0,-1.0,-1.0133840618337804
2021-11-12 00:00:00-05:00,AAT,32.10230255126953,-1.0,-1.0,-1.0,-1.0071732622381928
2021-11-15 00:00:00-05:00,AAT,32.40185546875,-1.0,-1.0,-1.0,-1.0214209317376135
2021-11-16 00:00:00-05:00,AAT,32.11062240600586,-1.0,32.11062240600586,-1.114015532912719,-1.685004428940514
2021-11-17 00:00:00-05:00,AAT,31.844350814819336,-1.0,-1.0,-1.0,-1.016864573648118
2021-11-18 00:00:00-05:00,AAT,31.51982688903809,-1.0,-1.0,-1.0,-1.0167256846406896
2021-11-19 00:00:00-05:00,AAT,31.428298950195312,-1.0,-1.0,-1.0,-1.019062822019758
2021-11-22 00:00:00-05:00,AAT,31.461584091186523,-1.0,-1.0,-1.0,-1.0202432122450809
2021-11-23 00:00:00-05:00,AAT,31.619678497314453,-1.0,-1.0,-1.0,-1.0205044210854766
2021-11-24 00:00:00-05:00,AAT,31.702890396118164,-1.0,-1.0,-1.0,-1.021250471790946
2021-11-26 00:00:00-05:00,AAT,29.96380615234375,-1.0,-1.0,-1.0,-1.0025835107020402
2021-11-29 00:00:00-05:00,AAT,29.306453704833984,-1.0,-1.0,-1.0,-1.0113624390834983
2021-11-30 00:00:00-05:00,AAT,28.62413215637207,-1.0,-1.0,-1.0,-1.011969572398709
