Ticker,Transaction_Score
JKHY,-6.666433002086866
TSN,-6.675526964745842
HON,-7.171371312092056
SHW,-7.172286520820336
IEX,-7.204799576790823
MTB,-7.257979989847406
GL,-7.324206335389576
PRU,-7.38142769174798
CAT,-7.480262160360954
COO,-7.614458545998152
EXPE,-7.650199856058957
MDT,-7.746095904548299
CMCSA,-7.750534984955778
UAL,-7.831478371696284
INCY,-7.866107099902207
WDC,-7.8709114519247585
LHX,-7.904708280915735
LW,-8.051509178543581
ETR,-8.10666266551728
NI,-8.133609548635512
C,-8.225991534537355
BAC,-8.278879158243413
CLX,-8.344078133191951
CSX,-8.360386855929663
HOLX,-8.360461695033141
FTV,-8.361139068759012
KHC,-8.661449748692878
AMGN,-8.663075976970376
AVY,-8.69493637524425
O,-8.819035175433207
MRK,-8.827052611510842
JNJ,-8.900059577885756
UHS,-8.9017829266972
AZO,-8.96812256151901
YUM,-9.02309315135828
DGX,-9.05947255221534
LKQ,-9.074351094020656
DVN,-9.207811818653813
PFG,-9.306802519104389
DRI,-9.42996286565211
MTD,-9.434554379558387
USB,-9.50940556622531
BG,-9.514549407366715
HAS,-9.547682667772005
DLR,-9.720144676589193
LYB,-9.756351818066374
ALLE,-9.788066493320237
ALL,-9.80044016565753
GM,-9.834709084551776
VZ,-9.927282584625038
HII,-9.985731293268959
NVR,-10.009445063816056
IQV,-10.023501432334932
PLD,-10.070592721811268
EOG,-10.080392829470478
BEN,-10.108385791218456
ZTS,-10.109992027601592
XOM,-10.11873269814097
RF,-10.336938366701684
HRL,-10.371506099177257
ISRG,-10.4240030820995
FITB,-10.4396816530728
DIS,-10.562262450745862
GILD,-10.593613990710654
CHTR,-10.739056733595298
NEE,-10.844259130453063
TRV,-10.887725606522777
MMM,-11.220517006549896
AON,-11.362041423441083
RSG,-11.371301658586413
PNW,-11.39463984945003
ALB,-11.436192552658248
GLW,-11.872564998190947
POOL,-12.091249500392431
UPS,-12.146799698592572
EW,-12.23253169713128
FI,-12.261810606065469
BK,-12.379618529975506
LMT,-12.390717879776705
J,-12.43815372485202
IP,-12.468512889887368
CTRA,-12.594299021258044
JCI,-12.687364369693709
SWK,-12.864885657734511
STLD,-12.91038515141494
AJG,-12.917247890717602
AIZ,-12.917728596700368
FDS,-12.951081078192939
PHM,-13.100364240308176
ROK,-13.157629419308083
PKG,-13.225117965394162
INVH,-13.295418638261978
PFE,-13.355997433716077
AOS,-13.396752938390359
PCG,-13.419567630772429
MDLZ,-13.480878514332067
ODFL,-13.633011055318537
TT,-13.757741707168789
DTE,-13.861931248350455
NSC,-13.882540041837004
DHI,-13.928578258292722
SJM,-14.043565363225762
TEL,-14.13172676043275
V,-14.138706889220865
SRE,-14.157036686584998
GIS,-14.186948225362952
WYNN,-14.197334448174283
LUV,-14.19871201676339
HPE,-14.34253897707388
VRSK,-14.443759334058372
PLTR,-14.64344449993409
BDX,-14.692299230254589
AXP,-14.763740371988773
CMS,-15.015233927283335
UBER,-15.036411160040172
OMC,-15.183645801397514
IRM,-15.213347116592542
MHK,-15.281258055908358
NTRS,-15.591631739958167
KR,-15.689084809133472
DLTR,-15.714230199707638
SYY,-15.789611868815431
CF,-15.946383157566235
BLDR,-15.950818303401462
CPRT,-15.995450976998878
STE,-16.010964952702114
DOV,-16.153711830473256
JBHT,-16.316925630698833
CCL,-16.376263675708817
RL,-16.398488952937317
XYL,-16.63695592887053
IDXX,-16.646348849092583
TROW,-16.8870639317673
DPZ,-16.89877094028282
NCLH,-17.129912456294633
SMCI,-17.152393202124614
AVB,-17.42335654665993
TSCO,-17.47521147547414
META,-17.493619389617457
NXPI,-17.540495102421104
PODD,-17.603480855885458
EXPD,-17.7825373644882
ACGL,-17.794321967127186
PEP,-17.987169116528715
MSI,-18.012860106433116
BX,-18.12048231526893
NKE,-18.256073244058186
BR,-18.265630174260185
CHRW,-18.28160647557778
SNPS,-18.382141916752786
DHR,-18.486604761539486
AME,-18.622018800929048
GPN,-19.07175387428034
LEN,-19.169198343096607
ADP,-19.177251467478463
XEL,-19.183115542118614
TXN,-19.303767667045268
BKR,-19.313241167821793
IPG,-19.5409036272862
ABBV,-19.955549842181625
CNC,-20.139772322199153
PM,-20.615815308895478
ULTA,-20.988121278827755
HES,-21.1099034713722
AFL,-21.11569092479268
MAA,-21.277440143658133
UDR,-21.76792048788895
